title,series,rating,language,genres,bookFormat,pages,publisher,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Rating,Num_Customers_Rated,Price
12 Rules for Life: An Antidote to Chaos,,3.94,English,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Religion', 'Unfinished', 'Science', 'Politics']",Hardcover,409,Random House Canada,['Goodreads Choice Award Nominee for Nonfiction (2018)'],102470,"['42381', '29881', '17108', '7652', '5448']",87.0,[],2018,Jordan B. Peterson,4.7,27211,12.36
"A Higher Loyalty: Truth, Lies, and Leadership",,4.1,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'History', 'Audiobook', 'Leadership', 'Autobiography', 'Biography Memoir', 'American History']",Hardcover,290,Flatiron Books,['Goodreads Choice Award Nominee for Memoir & Autobiography (2018)'],43575,"['17424', '17058', '6359', '1573', '1161']",94.0,"['White House, Washington, D.C. (United States)', 'United States of America']",2018,James Comey,4.7,7343,10.29
A Long Walk to Water: Based on a True Story,,4.28,English,"['Historical Fiction', 'Young Adult', 'Africa', 'Middle Grade', 'Fiction', 'Realistic Fiction', 'Historical', 'War', 'Childrens', 'Cultural']",Hardcover,128,Clarion Books,"[""Jane Addams Children's Book Award for Older Children (2011)"", ""Flicker Tale Children's Book Award Nominee for Juvenile (2012)"", ""Pennsylvania Young Readers' Choice Award Nominee for Grades 6-8 (2013)"", ""Rebecca Caudill Young Readers' Book Award Nominee (2015)""]",52998,"['25474', '19066', '6656', '1296', '506']",97.0,"['Sudan', 'East Africa']",2015,Linda Sue Park,4.8,8426,4.79
A Visit from the Goon Squad,,3.67,English,"['Fiction', 'Contemporary', 'Music', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature', 'Book Club', 'Adult']",Hardcover,288,Knopf,"['Pulitzer Prize for Fiction (2011)', 'Orange Prize Nominee for Fiction Longlist (2011)', 'PEN/Faulkner Award for Fiction Nominee (2011)', 'Los Angeles Times Book Prize for Fiction (2010)', 'National Book Critics Circle Award for Fiction (2010)', 'Galaxy National Book Award for International Author of the Year (2011)', 'Goodreads Choice Award Nominee for Fiction (2010)', 'International Dublin Literary Award Nominee for Shortlist (2012)', 'The Rooster -- The Morning News Tournament of Books (2011)']",175124,"['43841', '61545', '44794', '17868', '7076']",86.0,"['San Francisco, California (United States)', 'New York City, New York (United States)', 'Crandale, New York (United States)', 'Naples (Italy)', 'Pompeii (Italy)', 'Los Angeles, California (United States)', 'Times Square, New York City, New York (United States)']",2011,Jennifer Egan,3.9,1929,12.68
Alexander Hamilton,,4.21,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical', 'Biography Memoir', 'American Revolution', 'Unfinished']",Paperback,818,Penguin Books,"['George Washington Book Prize (2005)', 'National Book Critics Circle Award Nominee for Biography (2004)']",128855,"['64142', '40687', '15129', '4615', '4282']",93.0,['United States of America'],2016,Ron Chernow,4.8,13071,3.01
All the Light We Cannot See,,4.33,English,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",Hardcover,531,Scribner,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442,"['541185', '329482', '113565', '27961', '12249']",96.0,"['Paris (France)', 'Zollverein (Germany)', 'Evreux (France)', 'Saint-Malo (France)', 'Essen (Germany)', 'Berlin (Germany)', 'Schulpforte (Germany)', 'Vienna (Austria)', 'Épernay (France)', 'Nuremberg (Germany)']",2015,Anthony Doerr,4.6,40382,14.52
Allegiant,Divergent #3,3.62,English,"['Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Fantasy', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",Paperback,526,HarperCollins Children's Book's,['Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013)'],826865,"['230358', '237634', '218195', '98788', '41890']",83.0,"['Chicago, Illinois (United States)']",2014,Veronica Roth,4.0,7030,13.71
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,,4.0,English,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Memoir', 'Autobiography', 'Audiobook', 'Military History', 'Biography Memoir']",Paperback,528,HarperCollins,[],110501,"['44354', '35275', '20950', '6607', '3315']",91.0,[],2015,Chris Kyle,4.6,16858,0.35
And the Mountains Echoed,,4.05,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']",Hardcover,404,Riverhead Books,"['Australian Book Industry Award (ABIA) Nominee for International Book (2014)', 'Andrew Carnegie Medal Nominee for Fiction (2014)', 'Goodreads Choice Award for Fiction (2013)', 'DSC Prize Nominee for South Asian Literature  for Longlist (2015)']",301931,"['107293', '121481', '58470', '11635', '3052']",95.0,"['Kabul (Afghanistan)', 'California (United States)', 'Paris (France)', 'Tinos (Greece)', 'Afghanistan']",2013,Khaled Hosseini,4.3,12984,19.95
Astrophysics for People in a Hurry,,4.08,English,"['Nonfiction', 'Science', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History', 'Popular Science', 'Adult', 'Education']",Hardcover,224,W. W. Norton Company,"['Grammy Award Nominee for Best Spoken Word Album (2018)', 'Goodreads Choice Award for Science & Technology (2017)']",113066,"['41004', '46546', '20275', '3691', '1550']",95.0,[],2018,Neil deGrasse Tyson,4.7,12157,9.49
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,,4.34,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Business', 'Leadership', 'Health', 'Science']",Kindle Edition,319,Avery,['Goodreads Choice Award Nominee for Nonfiction (2018)'],125755,"['66905', '41442', '13018', '2646', '1744']",97.0,[],2019,James Clear,4.8,21640,11.98
Bared to You,Crossfire #1,4.18,English,"['Romance', 'Erotica', 'Contemporary', 'Adult', 'Contemporary Romance', 'Erotic Romance', 'Fiction', 'BDSM', 'New Adult', 'Chick Lit']",Paperback,334,Berkley,"['All About Romance (AAR) Annual Reader Poll for Best Erotic Romance AND Most Tortured Hero (2013)', 'Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012)']",453822,"['230795', '121473', '66084', '23103', '12367']",92.0,"['New York City, New York (United States)']",2012,Sylvia Day,4.3,10507,10.0
Being Mortal: Medicine and What Matters in the End,,4.44,English,"['Nonfiction', 'Medicine', 'Science', 'Health', 'Medical', 'Philosophy', 'Audiobook', 'Death', 'Psychology', 'Memoir']",Hardcover,282,Metropolitan Books,"['Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2014)', 'Goodreads Choice Award Nominee for Nonfiction (2014)', 'Royal Society of Biology General Book Prize (2015)']",132493,"['79068', '38645', '10263', '2692', '1825']",97.0,[],2015,Atul Gawande,4.8,12749,24.99
Between the World and Me,,4.39,English,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Biography', 'Social Justice', 'Essays', 'Politics', 'African American']",Hardcover,152,Spiegel & Grau,"['Pulitzer Prize Nominee for General Nonfiction (2016)', 'National Book Award for Nonfiction (2015)', 'ALA Alex Award (2016)', 'PEN/Diamonstein-Spielvogel Award for the Art of the Essay  (2016)', 'National Book Critics Circle Award Nominee for Criticism (2015)', 'NAIBA Book of the Year for Nonfiction (2016)', 'Kirkus Prize for Nonfiction (2015)', 'Goodreads Choice Award Nominee for Nonfiction (2015)']",235339,"['136056', '69174', '20504', '5880', '3725']",96.0,['United States of America'],2016,Ta-Nehisi Coates,4.7,14509,7.86
Big Little Lies,,4.27,English,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Thriller', 'Mystery Thriller', 'Adult Fiction', 'Australia']",Paperback,460,Berkley Books,"['Davitt Award for Best Adult Novel (2015)', 'Australian Book Industry Award (ABIA) Nominee for General Fiction (2015)', 'Goodreads Choice Award Nominee for Fiction (2014)']",747614,"['345232', '292031', '86241', '15575', '8535']",97.0,"['Sydney, New South Wales (Australia)']",2017,Liane Moriarty,4.6,23894,7.78
Boomerang: Travels in the New Third World,,3.9,English,"['Nonfiction', 'Economics', 'Business', 'Finance', 'History', 'Politics', 'Travel', 'Audiobook', 'Journalism', 'Money']",Paperback,218,W. W. Norton Company,['Goodreads Choice Award Nominee for Nonfiction (2011)'],40789,"['11814', '16937', '9234', '1877', '927']",93.0,[],2011,Michael Lewis,4.4,1448,15.99
Born to Run,,4.18,English,"['Animals', 'Fiction', 'Childrens', 'Novels', 'Adventure', 'Middle Grade', 'Dogs', 'Chapter Books', 'School', 'Health']",Paperback,251,HarperCollins Children's Books,['Manchester Book Award  Nominee for Longlist (2009)'],5309,"['2308', '1879', '931', '154', '37']",96.0,[],2016,Bruce Springsteen,4.7,4288,2.5
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",,4.29,English,"['Nonfiction', 'Sports', 'Health', 'Fitness', 'Adventure', 'Science', 'Memoir', 'Audiobook', 'Travel', 'Biography']",Hardcover,287,Knopf,['Goodreads Choice Award Nominee for Nonfiction (2009)'],168304,"['84420', '57427', '19830', '4400', '2227']",96.0,"['Mexico', 'Colorado (United States)']",2011,Christopher McDougall,4.7,7586,1.14
Bring Up the Bodies,Thomas Cromwell #2,4.27,English,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Literary Fiction', 'Audiobook', 'Tudor Period', 'Literature', 'Novels', '16th Century']",Hardcover,412,"Henry Holt & Company, Inc.","['Booker Prize (2012)', 'Costa Book Award for Novel (2012)', 'Audie Award for Literary Fiction (2013)', ""Women's Prize for Fiction Nominee (2013)"", 'Andrew Carnegie Medal Nominee for Fiction (2013)', 'Walter Scott Prize Nominee (2013)', 'Goodreads Choice Award Nominee for Historical Fiction (2012)', 'Waterstones Book of the Year Nominee (2012)', 'Costa Book of the Year (2012)']",73119,"['35660', '26088', '7988', '2176', '1207']",95.0,['England'],2012,Hilary Mantel,4.5,5796,21.08
"Brown Bear, Brown Bear, What Do You See?",Bill Martin's Bears #1,4.21,English,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Classics', 'Storytime', 'Poetry', 'Kids', 'Juvenile', 'Young Adult']",Board book,24,Henry Holt and Co.,[],151837,"['80378', '36496', '25035', '7022', '2906']",93.0,[],2017,Bill Martin Jr.,4.9,21233,5.0
Can't Hurt Me: Master Your Mind and Defy the Odds,,4.41,,"['Nonfiction', 'Self Help', 'Biography', 'Personal Development', 'Psychology', 'Audiobook', 'Memoir', 'Autobiography', 'Leadership', 'Military Fiction']",Kindle Edition,366,Lioncrest Publishing,[],56489,"['34729', '13829', '5396', '1636', '899']",96.0,[],2019,David Goggins,4.8,25506,17.94
Cleopatra: A Life,,3.69,English,"['History', 'Biography', 'Nonfiction', 'Historical', 'Egypt', 'Biography Memoir', 'Audiobook', 'Africa', 'Ancient History', 'Womens']",Hardcover,369,"Little, Brown and Company","['PEN/Jacqueline Bograd Weld Award for Biography (2011)', 'Goodreads Choice Award Nominee for History and Biography (2010)']",100222,"['29787', '30954', '23974', '9170', '6337']",85.0,"['Alexandria (Egypt)', 'Ptolemaic Egypt (Egypt)']",2010,Stacy Schiff,4.1,1175,11.0
Cloud Atlas,,4.01,English,"['Fiction', 'Science Fiction', 'Fantasy', 'Historical Fiction', 'Dystopia', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Historical']",Paperback,509,Random House,"['Booker Prize Nominee (2004)', 'Nebula Award Nominee for Best Novel (2004)', 'Locus Award Nominee for Best SF Novel (2005)', 'Arthur C. Clarke Award Nominee (2005)', 'James Tait Black Memorial Prize Nominee for Fiction (2004)', 'British Book Award for Best Read of the Year (2005)', 'National Book Critics Circle Award Nominee for Fiction (2004)', 'Geoffrey Faber Memorial Prize (2005)', 'Tähtivaeltaja Award Nominee (2009)', 'The Rooster -- The Morning News Tournament of Books (2005)']",216149,"['85845', '73665', '36163', '13497', '6979']",91.0,"['Chatham Islands (New Zealand)', 'Neerbeke, West Vlaanderen (Belgium)', 'Buenas Yerbas (United States)', 'London, England', 'Seoul, South Korea (Korea, Republic of)', 'Maui, Hawaii (United States)']",2012,David Mitchell,4.2,414,1.49
Crazy Love: Overwhelmed by a Relentless God,,4.15,English,"['Christian', 'Nonfiction', 'Christianity', 'Christian Living', 'Faith', 'Religion', 'Theology', 'Spirituality', 'Christian Non Fiction', 'Inspirational']",Paperback,187,David C. Cook,[],149789,"['72214', '43810', '22539', '6890', '4336']",93.0,[],2010,Francis Chan,4.7,1664,14.98
Cutting for Stone,,4.29,English,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",Hardcover,541,Alfred A. Knopf,"['PEN/Hemingway Foundation Award Nominee (2010)', 'Exclusive Books Boeke Prize Nominee (2011)', 'Indies Choice Book Award for Adult Fiction (2010)', 'Dayton Literary Peace Prize Nominee for Fiction (2010)', 'Wellcome Book Prize Nominee for Shortlist (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)']",336889,"['175794', '106563', '38090', '10912', '5530']",95.0,"['Addis Ababa (Ethiopia)', 'Madras (India)', 'Kochi (India)', 'Aden (Yemen)', 'Djibouti', 'Asmara (Eritrea)', 'Khartoum (Sudan)', 'Nairobi (Kenya)', 'New York City, New York (United States)', 'Boston, Massachusetts (United States)', 'Rome (Italy)']",2011,Abraham Verghese,4.6,5286,7.59
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Leadership', 'Parenting', 'Business', 'Spirituality', 'Relationships']",Hardcover,287,Avery,[],129648,"['65196', '41857', '16176', '4238', '2181']",95.0,[],2019,Brené Brown,4.8,6890,13.07
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",,3.95,English,"['Nonfiction', 'Psychology', 'Business', 'Audiobook', 'Self Help', 'Sociology', 'Science', 'History', 'Leadership', 'Personal Development']",Hardcover,305,"Little, Brown and Company","['Audie Award for Nonfiction (2014)', 'Goodreads Choice Award Nominee for Nonfiction (2013)']",147875,"['46186', '59744', '32938', '6711', '2296']",94.0,[],2013,Malcolm Gladwell,4.5,5371,19.19
Dead Wake: The Last Crossing of the Lusitania,,4.09,English,"['Nonfiction', 'History', 'Audiobook', 'Historical', 'War', 'World War I', 'American History', 'Adult', 'Book Club', 'British Literature']",Hardcover,430,Crown Publishers,"['Washington State Book Award for Nonfiction (2016)', 'Goodreads Choice Award for History & Biography (2015)']",109595,"['38605', '48364', '17812', '3185', '1629']",96.0,['Lusitania'],2015,Erik Larson,4.5,8113,26.8
Decision Points,,3.79,English,"['Biography', 'Nonfiction', 'Politics', 'History', 'Memoir', 'Presidents', 'Autobiography', 'American History', 'Biography Memoir', 'Leadership']",Hardcover,497,Crown,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],36679,"['9728', '14700', '8676', '2147', '1428']",90.0,[],2010,George W. Bush,4.6,2201,17.8
"Delivering Happiness: A Path to Profits, Passion, and Purpose",,4.01,English,"['Business', 'Nonfiction', 'Leadership', 'Entrepreneurship', 'Biography', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Audiobook']",Hardcover,246,Grand Central Publishing,['Goodreads Choice Award Nominee for Nonfiction (2010)'],61870,"['25394', '20077', '10437', '3282', '2680']",90.0,[],2010,Tony Hsieh,4.6,2009,23.51
Divergent,Divergent #1,4.19,English,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Paperback,487,Katherine Tegen Books,"['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)', 'Milwaukee County Teen Book Award Nominee (2012)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", 'Sakura Medal', 'New Mexico Land of Enchantment Award for Young Adult (2014)', 'Eliot Rosewater Indiana High School Book Award (2014)', 'California Young Readers Medal for Young Adult (2014)', 'Lincoln Award Nominee (2014)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2012)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011)', 'Green Mountain Book Award (2013)', 'The Magnolia Award for 6-8 (2014)', ""Louisiana Teen Readers' Choice (2014)"", 'Missouri Gateway Readers Award (2014)', 'Oklahoma Sequoyah Award for High Schol (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)']",2906258,"['1409189', '882493', '434381', '123286', '56909']",94.0,"['Chicago, Illinois (United States)']",2013,Veronica Roth,4.6,28544,13.53
Drive: The Surprising Truth About What Motivates Us,,3.95,English,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management', 'Education', 'Productivity', 'Science']",Hardcover,242,Riverhead Books,[],94384,"['31763', '36052', '19115', '4849', '2605']",92.0,[],2011,Daniel H. Pink,4.5,3260,2.0
Emotional Intelligence 2.0,,3.84,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Leadership', 'Personal Development', 'Management', 'Buisness', 'Relationships', 'Science']",Hardcover,255,Talentsmart,['IBPA Benjamin Franklin Awards for Career (2010)'],71117,"['23606', '22910', '17074', '4950', '2577']",89.0,[],2015,Travis Bradberry,4.5,5981,13.67
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",,4.49,English,"['Nonfiction', 'Christian', 'Faith', 'Self Help', 'Religion', 'Christian Living', 'Spirituality', 'Audiobook', 'Christianity', 'Inspirational']",Paperback,240,Thomas Nelson,[],22787,"['14695', '5502', '1905', '500', '185']",97.0,[],2018,Bob Goff,4.8,4195,11.89
"Everything, Everything",,4.05,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Young Adult Contemporary', 'Teen', 'Coming Of Age', 'Young Adult Romance']",Hardcover,306,Delacorte Books for Young Readers,"['South Carolina Book Award for Young Adult (2018)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Rhode Island Teen Book Award (2017)', 'Evergreen Teen Book Award (2018)', 'Soaring Eagle Book Award (2016)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2016)', 'Eliot Rosewater Indiana High School Book Award (2018)', 'Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015)', 'Missouri Gateway Readers Award Nominee (2017)']",378851,"['151068', '130610', '70470', '19628', '7075']",93.0,"['Los Angeles, California (United States)', 'Maui, Hawaii (United States)']",2017,Nicola Yoon,4.7,4412,0.94
Fahrenheit 451,,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",Kindle Edition,194,Simon & Schuster,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",1680139,"['612098', '604888', '331815', '91160', '40178']",92.0,[],2018,Ray Bradbury,4.6,15019,1.26
Fifty Shades Darker,Fifty Shades #2,3.84,English,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotic Romance', 'Adult Fiction']",Paperback,532,The Writer's Coffee Shop Publishing House,[],745051,"['307884', '178317', '139476', '71981', '47393']",84.0,"['Seattle, Washington (United States)']",2013,E L James,4.4,26449,0.32
Fire and Fury: Inside the Trump White House,,3.44,English,"['Nonfiction', 'Politics', 'History', 'Audiobook', 'Biography', 'American History', 'Unfinished', 'Presidents', 'Journalism', 'American']",Hardcover,322,Henry Holt and Co.,[],71315,"['11596', '22558', '25694', '8399', '3068']",84.0,"['White House, Washington, D.C. (United States)']",2018,Michael Wolff,4.2,14617,11.1
Freedom,,3.76,English,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'American', 'Adult Fiction', 'Family', 'Audiobook', 'Book Club']",Hardcover,562,"Farrar, Straus and Giroux","['Warwick Prize for Writing Nominee for Longlist (2013)', 'Los Angeles Times Book Prize Nominee for Fiction (2010)', 'Chicago Tribune Heartland Prize for Fiction (2011)', 'National Book Critics Circle Award Nominee for Fiction (2010)', 'Bad Sex in Fiction Award Nominee (2010)', 'John Gardner Book Award for Fiction (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Fiction (2010)']",150235,"['42269', '55185', '33341', '12890', '6550']",87.0,[],2010,Jonathan Franzen,3.7,1969,10.08
"Full Dark, No Stars",,4.06,English,"['Horror', 'Short Stories', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Audiobook', 'Anthologies', 'Fantasy', 'Crime']",Hardcover,368,Scribner,"['Bram Stoker Award for Best Fiction Collection (2010)', 'British Fantasy Award for Best Collection (2011)', 'Goodreads Choice Award Nominee for Mystery & Thriller (2010)']",92250,"['32610', '38083', '17346', '3160', '1051']",95.0,['United States of America'],2010,Stephen King,4.6,2423,1.33
Getting Things Done: The Art of Stress-Free Productivity,,3.99,English,"['Nonfiction', 'Business', 'Productivity', 'Self Help', 'Personal Development', 'Management', 'Leadership', 'Psychology', 'Reference', 'Audiobook']",Paperback,267,Penguin Group,[],128554,"['49329', '43403', '24569', '7227', '4026']",91.0,[],2011,David Allen,4.5,3585,0.35
"Gmorning, Gnight!: Little Pep Talks for Me & You",,4.33,English,"['Poetry', 'Nonfiction', 'Self Help', 'Audiobook', 'Adult', 'Inspirational', 'Humor', 'Contemporary', 'Mental Health', 'Graphic Novels']",Capa dura,207,Headline,[],17408,"['9731', '4882', '1930', '517', '348']",95.0,[],2018,Lin-Manuel Miranda,4.8,2930,1.77
